ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
BV06_09,Normal,Montoulieu,BV,Belveze,BV06,3.037,50.639,19,2.588,3.769,3.449,1261,0.825,13.681,138.27
G02_05,Dry,Grave,G,Grave,G02,4.069,45.845,18,1.809,2.611,3.447,1471,0.075,8.946,3.576
ML02_13,Wet,Montoulieu,ML,Montoulieu,ML02,3.142,62.416,24,0.562,4.647,3.443,466,0.126,21.386,82.073
AT15_03,Dry,Sourroque,AT,Ates,AT15,3.133,46.233,18,0.266,1.453,3.441,750,0.422,13.803,6.34
SQ13_08,Normal,Sourroque,SQ,Sourroque,SQ13,3.809,61.88,26,1.111,4.941,3.441,927,0.236,23.743,33.158
G05_15,Wet,Grave,G,Grave,G05,2.919,55.664,18,1.032,5.815,3.439,1471,0.075,8.946,3.576
AT17_08,Normal,Sourroque,AT,Ates,AT17,3.674,59.985,21,1.627,5.243,3.433,750,0.422,13.803,6.34
AT13_10,Normal,Sourroque,AT,Ates,AT13,3.509,65.05,26,1.788,3.791,3.429,750,0.422,13.803,6.34
ML07_12,Wet,Montoulieu,ML,Montoulieu,ML07,4.724,65.533,23,1.685,10.791,3.429,466,0.126,21.386,82.073
AT12_07,Normal,Sourroque,AT,Ates,AT12,3.471,49.488,25,1.346,4.084,3.428,750,0.422,13.803,6.34
AT16_05,Dry,Sourroque,AT,Ates,AT16,3.937,49.41,31,1.759,2.335,3.426,750,0.422,13.803,6.34
LC04_08,Normal,Sourroque,LC,Lacourt,LC04,3.566,51.422,22,1.63,4.682,3.417,489,0.211,6.063,146.31
AT15_09,Normal,Sourroque,AT,Ates,AT15,3.39,58.485,21,0.34,3.518,3.411,750,0.422,13.803,6.34
AT14_07,Normal,Sourroque,AT,Ates,AT14,2.993,58.684,25,2.583,3.225,3.411,750,0.422,13.803,6.34
AT14_06,Normal,Sourroque,AT,Ates,AT14,2.461,64.981,18,0.503,4.405,3.405,750,0.422,13.803,6.34
